item,p1,p2,p3,p4,p5,n1,n2,n3,n4,n5
0,0,0,1,0,0,0,1,1,0,0
1,1,1,1,0,0,1,0,0,0,1
2,1,0,0,1,0,1,0,0,0,1
10,0,1,1,0,1,0,1,0,1,0
11,1,1,1,0,0,0,0,0,0,0
12,0,1,0,0,1,1,1,0,1,1
20,1,0,0,1,0,0,1,1,0,1
21,0,1,0,1,0,1,1,1,0,1
22,1,0,0,1,1,1,0,1,1,1
100,0,1,1,0,1,1,0,1,1,0
101,1,1,1,1,0,0,0,1,1,1
102,0,0,0,0,1,1,1,0,1,1
110,1,0,0,1,1,0,0,0,0,0
111,0,1,1,1,0,0,1,1,1,0
112,1,0,1,1,1,1,1,1,0,1
120,0,0,1,1,0,1,1,1,1,1
121,1,1,0,1,0,0,1,1,1,1
122,0,0,1,1,0,0,1,0,0,1
200,1,1,1,1,1,0,1,0,1,0
201,0,0,0,1,0,1,1,1,1,0
202,1,0,1,1,0,0,1,1,0,1
210,0,1,1,1,1,0,1,0,0,1
211,1,0,0,1,0,1,0,1,0,0
212,0,0,1,1,0,0,0,0,0,0
220,1,0,1,1,0,1,0,1,0,1
221,0,0,0,0,0,1,1,0,1,0
222,1,0,1,1,1,0,0,1,1,1
